run_type,units1,units2,depth,optimizer,lr,epochs,batchsize,train_steps,valid_steps,capacity_proxy,final_valid_acc,best_valid_acc
followup_epochs_7,420,256,2,adam,0.001,7,64,60,30,676,0.8223958333333333,0.834375
followup_420x256,420,256,2,adam,0.001,5,64,60,30,676,0.821875,0.821875
followup_rmsprop_67,420,256,2,rmsprop,0.00067,5,64,60,30,676,0.8192708333333333,0.8192708333333333
grid,420,256,2,adam,0.001,3,64,60,30,676,0.8114583333333333,0.8114583333333333
followup_batch67,420,256,2,adam,0.001,5,67,60,30,676,0.8109452736318408,0.8109452736318408
followup_batch42,420,256,2,adam,0.001,5,42,60,30,676,0.8095238095238095,0.8119047619047619
grid,256,64,2,adam,0.001,3,64,60,30,320,0.80625,0.80625
grid,256,420,2,adam,0.001,3,64,60,30,676,0.80625,0.80625
followup_depth3,420,256,3,adam,0.001,5,64,60,30,932,0.8041666666666667,0.8223958333333333
followup_adamw_42,420,256,2,adamw,0.00042,5,64,60,30,676,0.7994791666666666,0.7994791666666666
grid,420,420,2,adam,0.001,3,64,60,30,840,0.7984375,0.7984375
grid,420,128,2,adam,0.001,3,64,60,30,548,0.7911458333333333,0.7911458333333333
grid,256,256,2,adam,0.001,3,64,60,30,512,0.7895833333333333,0.7895833333333333
grid,256,128,2,adam,0.001,3,64,60,30,384,0.7875,0.7875
grid,64,420,2,adam,0.001,3,64,60,30,484,0.7854166666666667,0.7854166666666667
grid,64,128,2,adam,0.001,3,64,60,30,192,0.7848958333333333,0.7848958333333333
grid,128,420,2,adam,0.001,3,64,60,30,548,0.7848958333333333,0.7848958333333333
grid,128,128,2,adam,0.001,3,64,60,30,256,0.7828125,0.7828125
grid,420,64,2,adam,0.001,3,64,60,30,484,0.7786458333333334,0.7786458333333334
grid,64,256,2,adam,0.001,3,64,60,30,320,0.7776041666666667,0.7776041666666667
grid,128,256,2,adam,0.001,3,64,60,30,384,0.7776041666666667,0.7776041666666667
grid,128,64,2,adam,0.001,3,64,60,30,192,0.775,0.775
grid,64,64,2,adam,0.001,3,64,60,30,128,0.7510416666666667,0.7510416666666667
