run_type,units1,units2,depth,optimizer,lr,epochs,batchsize,train_steps,valid_steps,capacity_proxy,final_valid_acc,best_valid_acc
overnight_grid,420,256,4,adamw,0.0015,12,128,140,50,1188,0.8765625,0.8765625
overnight_grid,420,32,2,rmsprop,0.0015,12,128,140,50,452,0.8734375,0.8734375
overnight_grid,256,512,2,adamw,0.001,12,96,140,50,768,0.871875,0.871875
overnight_grid,64,512,4,adamw,0.001,12,96,140,50,1600,0.868125,0.8689583333333334
overnight_grid,512,256,4,rmsprop,0.0003,12,128,140,50,1280,0.86734375,0.86734375
overnight_grid,1024,420,4,adam,0.0015,12,128,140,50,2284,0.86671875,0.87015625
overnight_grid,768,420,2,adam,0.0015,12,67,140,50,1188,0.866268656716418,0.866268656716418
overnight_grid,420,256,3,adam,0.0015,8,96,140,50,932,0.86625,0.86625
overnight_grid,128,128,2,rmsprop,0.00067,12,128,140,50,256,0.86328125,0.86859375
overnight_grid,420,512,3,adamw,0.0015,8,128,140,50,1444,0.86328125,0.86375
overnight_grid,256,32,2,rmsprop,0.0015,12,96,140,50,288,0.8616666666666667,0.8622916666666667
overnight_grid,768,420,4,adamw,0.0003,12,96,140,50,2028,0.8591666666666666,0.868125
overnight_grid,256,420,3,adam,0.0015,8,96,140,50,1096,0.85875,0.85875
overnight_grid,1024,512,3,rmsprop,0.00067,12,64,140,50,2048,0.8578125,0.863125
overnight_grid,256,128,3,rmsprop,0.00067,12,67,140,50,512,0.8576119402985075,0.8576119402985075
overnight_grid,420,256,2,adam,0.0015,8,128,140,50,676,0.8559375,0.86671875
overnight_grid,256,64,2,adamw,0.00067,12,128,140,50,320,0.8553125,0.86234375
overnight_grid,64,420,4,adamw,0.001,12,64,140,50,1324,0.855,0.871875
overnight_grid,768,128,4,rmsprop,0.00067,12,64,140,50,1152,0.855,0.855
overnight_grid,512,64,3,adam,0.00067,12,96,140,50,640,0.8547916666666666,0.8616666666666667
overnight_grid,768,128,4,rmsprop,0.001,12,64,140,50,1152,0.8546875,0.8596875
overnight_grid,768,512,4,adamw,0.0015,5,128,140,50,2304,0.85265625,0.85265625
overnight_grid,1024,64,2,adamw,0.0003,12,67,140,50,1088,0.8525373134328358,0.8540298507462687
overnight_grid,420,256,4,adamw,0.0015,12,64,140,50,1188,0.8525,0.85625
overnight_grid,32,420,3,adam,0.00067,12,32,140,50,872,0.851875,0.851875
overnight_grid,64,64,2,adam,0.00067,12,96,140,50,128,0.850625,0.850625
overnight_grid,420,128,4,adamw,0.00067,12,64,140,50,804,0.850625,0.8546875
overnight_grid,1024,512,3,adamw,0.0015,12,42,140,50,2048,0.8504761904761905,0.8504761904761905
overnight_grid,768,420,4,adamw,0.001,8,96,140,50,2028,0.85,0.8570833333333333
overnight_grid,1024,128,3,adam,0.0015,5,67,140,50,1280,0.8492537313432836,0.8492537313432836
overnight_grid,512,32,4,adamw,0.001,12,96,140,50,608,0.8489583333333334,0.8577083333333333
overnight_grid,64,32,3,adamw,0.001,12,96,140,50,128,0.84875,0.85
overnight_grid,420,512,2,adamw,0.0001,12,42,140,50,932,0.8485714285714285,0.8485714285714285
overnight_grid,512,64,3,adamw,0.001,12,42,140,50,640,0.8471428571428572,0.8533333333333334
overnight_grid,420,256,4,adam,0.0015,8,42,140,50,1188,0.8461904761904762,0.8461904761904762
