model_tag,model_family,hidden_size,num_layers,dropout,learning_rate,epochs,best_epoch,best_valid_accuracy,best_valid_loss,final_valid_accuracy,final_valid_loss,param_count,model_size_kb,inference_ms_per_batch
lstm-256-1layer-lr0.001,LSTM,256,1,0.0,0.001,25,24,0.995312511920929,0.03441043570637703,0.995312511920929,0.03441043570637703,272404,1067.0673828125,2.916718000005858
gru-256-2layer-drop0.2-lr0.0005,GRU,256,2,0.2,0.0005,25,20,0.995312511920929,0.01389705203473568,0.9921875,0.03283930569887161,600340,2349.1298828125,13.84900000000016
gru-128-2layer-drop0.2-lr0.0005,GRU,128,2,0.2,0.0005,30,28,0.9937499761581421,0.03198319673538208,0.9937499761581421,0.03198319673538208,152724,600.5673828125,6.699003999992783
gru-128-2layer-drop0.1-lr0.001,GRU,128,2,0.1,0.001,25,17,0.9937499761581421,0.026269108057022095,0.9859374761581421,0.05641462281346321,152724,600.5673828125,6.185768000004828
lstm-256-2layer-drop0.2-lr0.0005,LSTM,256,2,0.2,0.0005,25,18,0.9921875,0.055140890181064606,0.987500011920929,0.06817490607500076,798740,3124.1298828125,7.243779999998878
gru-128-1layer-lr0.001,GRU,128,1,0.0,0.001,20,18,0.9921875,0.03529791906476021,0.989062488079071,0.03812380135059357,53652,212.5673828125,6.272743999998056
lstm-128-2layer-drop0.1-lr0.001,LSTM,128,2,0.1,0.001,25,21,0.9921875,0.031612422317266464,0.987500011920929,0.0753416121006012,202772,796.1298828125,2.7915140000004612
gru-256-1layer-lr0.001,GRU,256,1,0.0,0.001,25,13,0.9921875,0.035075291991233826,0.979687511920929,0.08121168613433838,205588,806.0673828125,4.6369119999963
lstm-128-2layer-drop0.2-lr0.0005,LSTM,128,2,0.2,0.0005,30,26,0.9906250238418579,0.051486216485500336,0.9828125238418579,0.08686753362417221,202772,796.1298828125,2.8683339999952295
gru-128-1layer-lr0.0005,GRU,128,1,0.0,0.0005,25,24,0.984375,0.0808853954076767,0.984375,0.0808853954076767,53652,212.5673828125,2.9604599999947823
lstm-128-1layer-lr0.001,LSTM,128,1,0.0,0.001,20,19,0.96875,0.1320938616991043,0.96875,0.1320938616991043,70676,279.0673828125,1.4111839999986842
gru-64-1layer-lr0.001,GRU,64,1,0.0,0.001,20,19,0.965624988079071,0.1441754847764969,0.965624988079071,0.1441754847764969,14548,59.8173828125,2.2235619999992196
lstm-128-1layer-lr0.0005,LSTM,128,1,0.0,0.0005,25,23,0.957812488079071,0.1730683594942093,0.953125,0.15771551430225372,70676,279.0673828125,1.1630779999995866
lstm-64-1layer-lr0.001,LSTM,64,1,0.0,0.001,20,19,0.8890625238418579,0.36096665263175964,0.8890625238418579,0.36096665263175964,18964,77.0673828125,0.8576059999995778
rnn-128-2layer-drop0.1-lr0.001,RNN,128,2,0.1,0.001,20,4,0.171875,2.306854724884033,0.12343750149011612,2.656257152557373,52628,209.5673828125,2.7542320000065956
rnn-256-1layer-lr0.0005,RNN,256,1,0.0,0.0005,25,3,0.171875,2.195079803466797,0.06875000149011612,2.966334819793701,71956,284.0673828125,1.9240759999956936
rnn-128-1layer-lr0.001,RNN,128,1,0.0,0.001,20,1,0.16093750298023224,2.3583266735076904,0.10781250149011612,2.5991244316101074,19604,79.5673828125,1.4105819999986124
rnn-64-1layer-lr0.001,RNN,64,1,0.0,0.001,20,7,0.14531250298023224,2.508376121520996,0.12968750298023224,2.475440263748169,5716,25.3173828125,1.1526219999996101
rnn-128-1layer-lr0.01-instability,RNN,128,1,0.0,0.01,20,4,0.11093749850988388,2.745957136154175,0.06093750149011612,3.1783158779144287,19604,79.5673828125,1.4365160000033939
