model_tag,model_family,hidden_size,num_layers,dropout,learning_rate,epochs,best_epoch,best_valid_accuracy,best_valid_loss,final_valid_accuracy,final_valid_loss,param_count,model_size_kb,inference_ms_per_batch
overnight-conv1d-64-3layer-drop0.0-lr0.001,Conv1D,64,3,0.0,0.001,35,12,1.0,0.09088618829846382,0.996875,0.017774877219926564,27028,115.080078125,0.732527999789454
overnight-conv1d-64-4layer-drop0.0-lr0.0005,Conv1D,64,4,0.0,0.0005,35,28,1.0,0.021986957034096123,1.0,0.02666438859887421,39508,166.3994140625,0.9368540003197268
overnight-conv1d-64-4layer-drop0.2-lr0.001,Conv1D,64,4,0.2,0.001,35,17,1.0,0.038526772521436214,0.9984375,0.01636137062450871,39508,166.5244140625,0.9784160001436248
overnight-conv1d-64-4layer-drop0.1-lr0.0005,Conv1D,64,4,0.1,0.0005,35,26,1.0,0.027432849234901368,0.996875,0.02186675644479692,39508,166.5244140625,0.9791799995582551
overnight-conv1d-64-4layer-drop0.1-lr0.001,Conv1D,64,4,0.1,0.001,35,26,1.0,0.010338829949614593,0.9984375,0.013231665070634335,39508,166.5244140625,0.9695999999530613
overnight-conv1d-64-4layer-drop0.2-lr0.0005,Conv1D,64,4,0.2,0.0005,35,26,1.0,0.036780602973885836,0.996875,0.028765964298509063,39508,166.5244140625,0.9705300000496209
overnight-conv1d-64-4layer-drop0.0-lr0.001,Conv1D,64,4,0.0,0.001,35,30,1.0,0.009535649308236315,0.9984375,0.010257329311571084,39508,166.3994140625,0.9497959999134764
overnight-conv1d-64-3layer-drop0.1-lr0.0005,Conv1D,64,3,0.1,0.0005,35,26,1.0,0.05956714586354792,0.9984375,0.03827283140271902,27028,115.142578125,0.7485160004580393
overnight-gru-384-2layer-drop0.1-lr0.001,GRU,384,2,0.1,0.001,40,27,1.0,0.004154118438600562,0.9984375,0.0061292976890399585,1342868,5249.6298828125,19.934487999998964
overnight-conv1d-64-3layer-drop0.0-lr0.0005,Conv1D,64,3,0.0,0.0005,35,26,1.0,0.05451989760622382,0.9984375,0.03703778609633446,27028,115.080078125,0.7386439997935668
overnight-gru-256-2layer-drop0.0-lr0.0005,GRU,256,2,0.0,0.0005,40,20,0.9984375,0.0196698726504109,0.99375,0.0217944525880739,600340,2349.1298828125,7.608389999950305
overnight-gru-256-2layer-drop0.2-lr0.0005,GRU,256,2,0.2,0.0005,40,25,0.9984375,0.0143239655997604,0.99375,0.0223483652225695,600340,2349.1298828125,7.614376000128686
overnight-gru-128-2layer-drop0.2-lr0.001,GRU,128,2,0.2,0.001,40,14,0.9984375,0.0246282940264791,0.9890625,0.0289842191850766,152724,600.5673828125,4.795125999953598
overnight-gru-256-2layer-drop0.1-lr0.0003,GRU,256,2,0.1,0.0003,40,25,0.9984375,0.0176433263113722,0.996875,0.0215882455115206,600340,2349.1298828125,8.847193999681622
overnight-gru-256-2layer-drop0.35-lr0.002,GRU,256,2,0.35,0.002,40,10,0.9984375,0.0127987131942063,0.9953125,0.0260800646414281,600340,2349.1298828125,7.789092000457458
overnight-gru-256-3layer-drop0.0-lr0.0003,GRU,256,3,0.0,0.0003,40,32,0.9984375,0.0169257400208152,0.996875,0.0179442474909592,995092,3892.1962890625,13.753205999964848
overnight-gru-256-2layer-drop0.35-lr0.0005,GRU,256,2,0.35,0.0005,40,19,0.9984375,0.014471158280503,0.846875,0.5768388757482171,600340,2349.1298828125,7.60465600003954
overnight-gru-128-2layer-drop0.35-lr0.0005,GRU,128,2,0.35,0.0005,40,31,0.9984375,0.0177578069968149,0.996875,0.0163559441571123,152724,600.5673828125,5.024956000270322
overnight-gru-256-2layer-drop0.2-lr0.001,GRU,256,2,0.2,0.001,40,20,0.9984375,0.0136224396817851,0.996875,0.0146250426681945,600340,2349.1298828125,7.644734000205062
overnight-gru-256-2layer-drop0.1-lr0.0005,GRU,256,2,0.1,0.0005,40,25,0.9984375,0.0152286869648378,0.996875,0.0195802607166115,600340,2349.1298828125,7.643475999939255
overnight-gru-128-3layer-drop0.2-lr0.001,GRU,128,3,0.2,0.001,40,20,0.9984375,0.0180264571914449,0.99375,0.0277041265973821,251796,988.6337890625,7.247257999842986
overnight-gru-128-3layer-drop0.2-lr0.0005,GRU,128,3,0.2,0.0005,40,29,0.9984375,0.022961838345509,0.990625,0.0338581946096383,251796,988.6337890625,7.169692000024952
overnight-lstm-384-1layer-drop0.0-lr0.0005,LSTM,384,1,0.0,0.0005,40,33,0.9984375,0.02022837083786726,0.996875,0.032333705446217206,605204,2367.0673828125,2.011938000214286
overnight-conv1d-64-4layer-drop0.35-lr0.0005,Conv1D,64,4,0.35,0.0005,35,33,0.9984375,0.054585928842425344,0.99375,0.05640305383130908,39508,166.5244140625,0.9927060001064091
overnight-gru-128-3layer-drop0.35-lr0.0005,GRU,128,3,0.35,0.0005,40,28,0.9984375,0.0160352727747522,0.9953125,0.0219588590902276,251796,988.6337890625,8.037993999896571
overnight-conv1d-64-4layer-drop0.35-lr0.001,Conv1D,64,4,0.35,0.001,35,33,0.9984375,0.022400521708186717,0.99375,0.03063030189368874,39508,166.5244140625,1.1084959999425337
overnight-gru-256-1layer-drop0.0-lr0.001,GRU,256,1,0.0,0.001,40,26,0.9984375,0.0240046199905918,0.975,0.0985124128870666,205588,806.0673828125,3.8453479995951056
overnight-gru-256-2layer-drop0.0-lr0.0003,GRU,256,2,0.0,0.0003,40,31,0.9984375,0.0184155293158255,0.9953125,0.021276303770719,600340,2349.1298828125,7.572527999873273
overnight-conv1d-64-3layer-drop0.2-lr0.0005,Conv1D,64,3,0.2,0.0005,35,27,0.9984375,0.07631464675068855,0.996875,0.05286164167337119,27028,115.142578125,0.7483739999588579
overnight-conv1d-64-3layer-drop0.1-lr0.001,Conv1D,64,3,0.1,0.001,35,33,0.9984375,0.020658263633958996,0.9984375,0.018570766621269285,27028,115.142578125,0.7479300000704825
overnight-conv1d-64-3layer-drop0.2-lr0.001,Conv1D,64,3,0.2,0.001,35,22,0.9984375,0.0410096971783787,0.9984375,0.02538986346917227,27028,115.142578125,0.7983659999445081
overnight-gru-256-1layer-drop0.0-lr0.0005,GRU,256,1,0.0,0.0005,40,36,0.9984375,0.0224106677458621,0.99375,0.0256901154643856,205588,806.0673828125,3.533805999904871
overnight-gru-128-2layer-drop0.0-lr0.001,GRU,128,2,0.0,0.001,40,20,0.9984375,0.0184316976228728,0.990625,0.0373417002265341,152724,600.5673828125,5.089936000294983
overnight-gru-128-2layer-drop0.35-lr0.001,GRU,128,2,0.35,0.001,40,23,0.9984375,0.0148898403858765,0.9953125,0.0244839113554917,152724,600.5673828125,5.060887999716215
overnight-conv1d-128-2layer-drop0.0-lr0.0005,Conv1D,128,2,0.0,0.0005,35,28,0.996875,0.07986058872193098,0.9859375,0.07572194915264845,53652,217.5732421875,0.6644380005309358
overnight-gru-384-2layer-drop0.2-lr0.0005,GRU,384,2,0.2,0.0005,40,20,0.996875,0.01426885049440898,0.990625,0.042929169605486095,1342868,5249.6298828125,11.846863999962807
overnight-gru-384-2layer-drop0.1-lr0.0003,GRU,384,2,0.1,0.0003,40,21,0.996875,0.01761547352652997,0.99375,0.022151957306778058,1342868,5249.6298828125,21.96408000017982
overnight-gru-256-3layer-drop0.35-lr0.001,GRU,256,3,0.35,0.001,40,25,0.996875,0.017045259947190063,0.9609375,0.11881006974726915,995092,3892.1962890625,20.637817999813706
overnight-gru-128-3layer-drop0.0-lr0.001,GRU,128,3,0.0,0.001,40,20,0.996875,0.0186115682241506,0.9953125,0.0249196848715655,251796,988.6337890625,7.398338000057265
overnight-gru-256-2layer-drop0.0-lr0.002,GRU,256,2,0.0,0.002,40,10,0.996875,0.0297775676008313,0.9921875,0.032552125636721,600340,2349.1298828125,7.593708000495098
overnight-gru-128-3layer-drop0.1-lr0.0005,GRU,128,3,0.1,0.0005,40,23,0.996875,0.0209585600532591,0.996875,0.0195550069387536,251796,988.6337890625,7.474677999853156
overnight-gru-128-2layer-drop0.35-lr0.002,GRU,128,2,0.35,0.002,40,20,0.996875,0.0203603716014185,0.98125,0.075358042656444,152724,600.5673828125,4.839492000173777
overnight-gru-128-2layer-drop0.2-lr0.0003,GRU,128,2,0.2,0.0003,40,38,0.996875,0.0283743368694558,0.99375,0.0330128452274948,152724,600.5673828125,4.823962000082247
overnight-gru-256-1layer-drop0.0-lr0.0003,GRU,256,1,0.0,0.0003,40,35,0.996875,0.027329030202236,0.990625,0.0350302629871293,205588,806.0673828125,3.742081999662332
overnight-gru-128-3layer-drop0.2-lr0.002,GRU,128,3,0.2,0.002,40,10,0.996875,0.0328276009182445,0.9953125,0.0340479826845694,251796,988.6337890625,7.364516000379808
overnight-gru-256-2layer-drop0.0-lr0.001,GRU,256,2,0.0,0.001,40,11,0.996875,0.0140187856741249,0.990625,0.0349055654136464,600340,2349.1298828125,7.610597999882884
overnight-gru-128-2layer-drop0.2-lr0.0005,GRU,128,2,0.2,0.0005,40,33,0.996875,0.020996390923392,0.9890625,0.032713445671834,152724,600.5673828125,4.835719999973662
overnight-conv1d-64-3layer-drop0.35-lr0.001,Conv1D,64,3,0.35,0.001,35,33,0.996875,0.0369045318569988,0.9953125,0.04334423821419477,27028,115.142578125,0.7419820001814514
overnight-gru-256-2layer-drop0.1-lr0.001,GRU,256,2,0.1,0.001,40,23,0.996875,0.0154030107194557,0.996875,0.0146484531054738,600340,2349.1298828125,7.622893999796361
overnight-gru-256-2layer-drop0.2-lr0.0003,GRU,256,2,0.2,0.0003,40,33,0.996875,0.0224034619750455,0.9921875,0.0452049646468367,600340,2349.1298828125,7.493949999916367
overnight-gru-128-2layer-drop0.2-lr0.002,GRU,128,2,0.2,0.002,40,24,0.996875,0.0120014901389367,0.9953125,0.0276044820144306,152724,600.5673828125,4.798855999833904
overnight-gru-256-2layer-drop0.2-lr0.002,GRU,256,2,0.2,0.002,40,9,0.996875,0.0218005498696584,0.959375,0.1599526398349553,600340,2349.1298828125,7.617793999961577
overnight-gru-128-2layer-drop0.0-lr0.002,GRU,128,2,0.0,0.002,40,17,0.996875,0.0132327466097194,0.9734375,0.0922163337934762,152724,600.5673828125,5.304444000357762
overnight-gru-128-2layer-drop0.0-lr0.0005,GRU,128,2,0.0,0.0005,40,39,0.996875,0.0184387141955085,0.996875,0.0184387141955085,152724,600.5673828125,4.816072000539862
