source_model_tag,model_tag,model_family,hidden_size,num_layers,dropout,learning_rate,epochs,best_epoch,best_valid_accuracy,best_valid_loss,final_valid_accuracy,final_valid_loss,test_accuracy,test_loss,test_correct,test_total,param_count,model_size_kb,inference_ms_per_batch_gpu,elapsed_seconds
overnight-conv1d-64-3layer-drop0.0-lr0.001,user-split-conv1d-64-3layer-drop0.0-lr0.001,Conv1D,64,3,0.0,0.001,35,32,0.9475,0.2293177304044366,0.9475,0.2293177304044366,0.9102244389027432,0.2697216183541719,365,401,27028,115.330078125,0.4396800000298148,8.212742199997592
overnight-conv1d-64-4layer-drop0.0-lr0.0005,user-split-conv1d-64-4layer-drop0.0-lr0.0005,Conv1D,64,4,0.0,0.0005,35,21,0.92,0.3436341813951731,0.92,0.3436341813951731,0.9775561097256857,0.12893736577985293,392,401,39508,166.8369140625,0.5819000000580369,9.141168100002687
overnight-conv1d-64-4layer-drop0.2-lr0.001,user-split-conv1d-64-4layer-drop0.2-lr0.001,Conv1D,64,4,0.2,0.001,35,21,0.9325,0.24904319014400245,0.9325,0.24904319014400245,0.9526184538653366,0.13007690958177062,382,401,39508,167.0244140625,0.6135233333528352,9.954327399995236
overnight-conv1d-64-4layer-drop0.1-lr0.0005,user-split-conv1d-64-4layer-drop0.1-lr0.0005,Conv1D,64,4,0.1,0.0005,35,28,0.915,0.28859042033553123,0.915,0.28859042033553123,0.9850374064837906,0.0649390871685342,395,401,39508,167.0244140625,0.5891733332343089,9.646214299995336
overnight-conv1d-64-4layer-drop0.1-lr0.001,user-split-conv1d-64-4layer-drop0.1-lr0.001,Conv1D,64,4,0.1,0.001,35,14,0.935,0.287283038944006,0.935,0.287283038944006,0.9775561097256857,0.09114297554640104,392,401,39508,167.0244140625,0.5693366668613938,9.631362800006173
overnight-conv1d-64-4layer-drop0.2-lr0.0005,user-split-conv1d-64-4layer-drop0.2-lr0.0005,Conv1D,64,4,0.2,0.0005,35,21,0.92,0.3401188525557518,0.92,0.3401188525557518,0.9675810473815462,0.12426246706387051,388,401,39508,167.0244140625,0.6732833331625443,9.639538800001901
overnight-conv1d-64-4layer-drop0.0-lr0.001,user-split-conv1d-64-4layer-drop0.0-lr0.001,Conv1D,64,4,0.0,0.001,35,15,0.9375,0.30162127047777176,0.9375,0.30162127047777176,0.9625935162094763,0.14296123337121378,386,401,39508,166.8369140625,0.5514833334018476,9.072011099997326
overnight-conv1d-64-3layer-drop0.1-lr0.0005,user-split-conv1d-64-3layer-drop0.1-lr0.0005,Conv1D,64,3,0.1,0.0005,35,24,0.915,0.37132338762283323,0.915,0.37132338762283323,0.942643391521197,0.19478466371051095,378,401,27028,115.392578125,0.457040000037523,8.311233399996127
overnight-gru-384-2layer-drop0.1-lr0.001,user-split-gru-384-2layer-drop0.1-lr0.001,GRU,384,2,0.1,0.001,40,14,0.8875,0.35755820902064445,0.8875,0.35755820902064445,0.9326683291770573,0.16654642812554676,374,401,1342868,5248.3798828125,0.6400066667993087,14.957113600001321
overnight-conv1d-64-3layer-drop0.0-lr0.0005,user-split-conv1d-64-3layer-drop0.0-lr0.0005,Conv1D,64,3,0.0,0.0005,35,18,0.925,0.4515980964899063,0.925,0.4515980964899063,0.9625935162094763,0.1920003555064784,386,401,27028,115.330078125,0.44895666675680934,7.852702700001828
