run_type,model_type,mode,trial_id,val_accuracy,val_loss,epoch,final_val_accuracy,final_val_loss,final_epoch,batch_size,lr,dropout,head_width,head_layers,head_batch_norm,activation,embed_dim,depth,num_heads,patch_size,optimizer,unfreeze_blocks,weight_decay,label_smoothing,image_size,notes,elapsed_seconds,param_count,model_size_kb,inference_ms_per_batch,inference_ms_per_image,best_val_accuracy,best_val_loss,best_epoch,network_name,network_display_name
local,resnet18,overnight,local_resnet18_031,0.9607843137254902,0.25358664151889826,11,0.9411764705882353,0.2526535197021135,20,8,0.0005,0.0,768,2,0,gelu,96,3,4,16,sgd,3,0.0001,0.05,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,44.13949950004462,12162626,47589.5810546875,14.35052000451833,14.35052000451833,0.9607843137254902,0.25358664151889826,11,resnet18_transfer_head768_layers2_gelu_bn0_unfreeze3,ResNet18 transfer | head=768 | layers=2 | activation=gelu | bn=0 | unfreeze=3
local,resnet18,overnight,local_resnet18_007,0.954248366013072,0.3700700628212074,5,0.9477124183006536,0.3661321222392562,20,8,0.0001,0.15,512,1,1,silu,96,3,4,16,adamw,2,1e-05,0.15,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,71.93658910001977,11441218,44776.3994140625,235.42269000026863,29.42783625003358,0.954248366013072,0.3700700628212074,5,resnet18_transfer_head512_layers1_silu_bn1_unfreeze2,ResNet18 transfer | head=512 | layers=1 | activation=silu | bn=1 | unfreeze=2
local,resnet18,overnight,local_resnet18_013,0.954248366013072,0.3833116737066531,18,0.9477124183006536,0.3900303864011578,20,24,0.0001,0.1,256,3,1,relu,96,3,4,16,adamw,0,5e-05,0.15,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,53.66873619999387,11441474,44783.8017578125,141.05245000003683,17.631556250004603,0.954248366013072,0.3833116737066531,18,resnet18_transfer_head256_layers3_relu_bn1_unfreeze0,ResNet18 transfer | head=256 | layers=3 | activation=relu | bn=1 | unfreeze=0
local,resnet18,overnight,local_resnet18_001,0.9477124183006536,0.239513140877867,5,0.934640522875817,0.1858128689083398,20,32,5e-05,0.15,256,2,1,silu,96,3,4,16,adamw,4,0.0001,0.0,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,74.26489600000787,11375170,44520.6005859375,725.0291900001077,90.62864875001348,0.9477124183006536,0.239513140877867,5,resnet18_transfer_head256_layers2_silu_bn1_unfreeze4,ResNet18 transfer | head=256 | layers=2 | activation=silu | bn=1 | unfreeze=4
local,resnet18,overnight,local_resnet18_019,0.9477124183006536,0.332769428885061,16,0.9215686274509803,0.3509703867770488,20,8,0.0015,0.1,768,1,1,gelu,96,3,4,16,sgd,3,5e-05,0.1,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,51.59421140002087,11573570,45295.3994140625,32.851559994742274,32.851559994742274,0.9477124183006536,0.332769428885061,16,resnet18_transfer_head768_layers1_gelu_bn1_unfreeze3,ResNet18 transfer | head=768 | layers=1 | activation=gelu | bn=1 | unfreeze=3
local,resnet18,overnight,local_resnet18_004,0.9477124183006536,0.3447106935424742,12,0.9019607843137256,0.3643482391740761,20,8,0.0001,0.2,128,3,0,silu,96,3,4,16,adamw,0,1e-06,0.1,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,54.548089499992784,11275458,44124.7724609375,143.38836666720454,17.923545833400567,0.9477124183006536,0.3447106935424742,12,resnet18_transfer_head128_layers3_silu_bn0_unfreeze0,ResNet18 transfer | head=128 | layers=3 | activation=silu | bn=0 | unfreeze=0
local,resnet18,overnight,local_resnet18_026,0.9477124183006536,0.3343830190452875,15,0.934640522875817,0.33422916893865545,20,24,0.0015,0.35,768,1,0,gelu,96,3,4,16,sgd,2,0.0001,0.1,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,44.53647789999377,11572034,45281.8896484375,167.34317999798805,167.34317999798805,0.9477124183006536,0.3343830190452875,15,resnet18_transfer_head768_layers1_gelu_bn0_unfreeze2,ResNet18 transfer | head=768 | layers=1 | activation=gelu | bn=0 | unfreeze=2
local,resnet18,overnight,local_resnet18_029,0.9411764705882353,0.23955701817484462,12,0.9150326797385621,0.3052310514099458,20,24,0.0007,0.25,768,1,1,relu,96,3,4,16,adamw,0,1e-05,0.0,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,45.34359390003374,11573570,45295.3994140625,22.489700000733137,22.489700000733137,0.9411764705882353,0.23955701817484462,12,resnet18_transfer_head768_layers1_relu_bn1_unfreeze0,ResNet18 transfer | head=768 | layers=1 | activation=relu | bn=1 | unfreeze=0
local,resnet18,overnight,local_resnet18_022,0.9411764705882353,0.38562975677789424,14,0.9281045751633987,0.39087141105552126,20,16,0.0015,0.0,768,2,0,relu,96,3,4,16,sgd,1,1e-06,0.15,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,42.58259619999444,12162626,47589.5810546875,16.773839993402362,16.773839993402362,0.9411764705882353,0.38562975677789424,14,resnet18_transfer_head768_layers2_relu_bn0_unfreeze1,ResNet18 transfer | head=768 | layers=2 | activation=relu | bn=0 | unfreeze=1
local,resnet18,overnight,local_resnet18_021,0.9411764705882353,0.29087254385543027,15,0.934640522875817,0.2636155920480591,20,32,0.0015,0.2,384,2,1,silu,96,3,4,16,adamw,0,1e-06,0.05,224,Long overnight sweep over transfer learning and compact transformers. Local sequential CUDA-compatible run.,42.30196930002421,11523650,45102.6005859375,25.55366000160575,25.55366000160575,0.9411764705882353,0.29087254385543027,15,resnet18_transfer_head384_layers2_silu_bn1_unfreeze0,ResNet18 transfer | head=384 | layers=2 | activation=silu | bn=1 | unfreeze=0
